label,form,ids,note
enrolled_and_partial/by_enrolment_group/PD,BDII,423,complete
enrolled_and_partial/by_enrolment_group/PD,Clinical,1828,complete
enrolled_and_partial/by_enrolment_group/PD,Demographic,1862,complete
enrolled_and_partial/by_enrolment_group/PD,EHI,396,complete
enrolled_and_partial/by_enrolment_group/PD,Epidemiological,2382,no_completion_col
enrolled_and_partial/by_enrolment_group/PD,Fatigue Severity Scale,182,complete
enrolled_and_partial/by_enrolment_group/PD,FrSBe,0,complete
enrolled_and_partial/by_enrolment_group/PD,MBIC,425,complete
enrolled_and_partial/by_enrolment_group/PD,MBIC (CaPRI),303,complete
enrolled_and_partial/by_enrolment_group/PD,MDS-UPDRS,1534,complete
enrolled_and_partial/by_enrolment_group/PD,MDS-UPDRS-1,27,complete
enrolled_and_partial/by_enrolment_group/PD,Medication,1796,complete
enrolled_and_partial/by_enrolment_group/PD,MoCA,1643,complete
enrolled_and_partial/by_enrolment_group/PD,MoCA-1,40,complete
enrolled_and_partial/by_enrolment_group/PD,MoCA-2,1,complete
enrolled_and_partial/by_enrolment_group/PD,Neuropsychological,344,complete
enrolled_and_partial/by_enrolment_group/PD,Neuropsychological (CaPRI),121,complete
enrolled_and_partial/by_enrolment_group/PD,Neuropsychological V02,35,complete
enrolled_and_partial/by_enrolment_group/PD,PDQ 39,502,complete
enrolled_and_partial/by_enrolment_group/PD,PDQ 8,187,complete
enrolled_and_partial/by_enrolment_group/PD,Parkinson Severity Scale,186,complete
enrolled_and_partial/by_enrolment_group/PD,SCOPA,185,complete
enrolled_and_partial/by_enrolment_group/PD,Schwab & England,182,complete
enrolled_and_partial/by_enrolment_group/PD,Timed Up Go,196,complete
enrolled_and_partial/by_enrolment_group/PD,UPDRS 1.2 part 3,182,complete
enrolled_and_partial/by_enrolment_group/AP,enrollment,132,
enrolled_and_partial/by_enrolment_group/AP,Apathy Evaluation Informant,0,complete
enrolled_and_partial/by_enrolment_group/AP,Apathy Evaluation Self,0,complete
enrolled_and_partial/by_enrolment_group/AP,Apathy Scale,2,complete
enrolled_and_partial/by_enrolment_group/AP,BAI,2,complete
enrolled_and_partial/by_enrolment_group/AP,BDII,7,complete
enrolled_and_partial/by_enrolment_group/AP,Clinical,89,complete
enrolled_and_partial/by_enrolment_group/AP,Demographic,97,complete
enrolled_and_partial/by_enrolment_group/AP,EHI,26,complete
enrolled_and_partial/by_enrolment_group/AP,Epidemiological,132,no_completion_col
enrolled_and_partial/by_enrolment_group/AP,Fatigue Severity Scale,2,complete
enrolled_and_partial/by_enrolment_group/AP,FrSBe,0,complete
enrolled_and_partial/by_enrolment_group/AP,MBIC,12,complete
enrolled_and_partial/by_enrolment_group/AP,MBIC (CaPRI),23,complete
enrolled_and_partial/by_enrolment_group/AP,MDS-UPDRS,60,complete
enrolled_and_partial/by_enrolment_group/AP,MDS-UPDRS-1,0,complete
enrolled_and_partial/by_enrolment_group/AP,Medication,85,complete
enrolled_and_partial/by_enrolment_group/AP,MoCA,72,complete
enrolled_and_partial/by_enrolment_group/AP,MoCA-1,1,complete
enrolled_and_partial/by_enrolment_group/AP,MoCA-2,0,complete
enrolled_and_partial/by_enrolment_group/AP,Neuropsychological,24,complete
enrolled_and_partial/by_enrolment_group/AP,Neuropsychological (CaPRI),1,complete
enrolled_and_partial/by_enrolment_group/AP,Neuropsychological V02,1,complete
enrolled_and_partial/by_enrolment_group/AP,PDQ 39,26,complete
enrolled_and_partial/by_enrolment_group/AP,PDQ 8,2,complete
enrolled_and_partial/by_enrolment_group/AP,Parkinson Severity Scale,2,complete
enrolled_and_partial/by_enrolment_group/AP,SCOPA,2,complete
enrolled_and_partial/by_enrolment_group/AP,Schwab & England,2,complete
enrolled_and_partial/by_enrolment_group/AP,Timed Up Go,8,complete
enrolled_and_partial/by_enrolment_group/AP,UPDRS 1.2 part 3,1,complete
enrolled_and_partial/by_enrolment_group/HC,enrollment,359,
enrolled_and_partial/by_enrolment_group/HC,Apathy Evaluation Informant,0,complete
enrolled_and_partial/by_enrolment_group/HC,Apathy Evaluation Self,0,complete
enrolled_and_partial/by_enrolment_group/HC,Apathy Scale,1,complete
enrolled_and_partial/by_enrolment_group/HC,BAI,14,complete
enrolled_and_partial/by_enrolment_group/HC,BDII,37,complete
enrolled_and_partial/by_enrolment_group/HC,Clinical,32,complete
enrolled_and_partial/by_enrolment_group/HC,Demographic,211,complete
enrolled_and_partial/by_enrolment_group/HC,EHI,56,complete
enrolled_and_partial/by_enrolment_group/HC,Epidemiological,359,no_completion_col
enrolled_and_partial/by_enrolment_group/HC,Fatigue Severity Scale,1,complete
enrolled_and_partial/by_enrolment_group/HC,FrSBe,0,complete
enrolled_and_partial/by_enrolment_group/HC,MBIC,2,complete
enrolled_and_partial/by_enrolment_group/HC,MBIC (CaPRI),41,complete
enrolled_and_partial/by_enrolment_group/HC,MDS-UPDRS,84,complete
enrolled_and_partial/by_enrolment_group/HC,MDS-UPDRS-1,0,complete
enrolled_and_partial/by_enrolment_group/HC,Medication,64,complete
enrolled_and_partial/by_enrolment_group/HC,MoCA,228,complete
enrolled_and_partial/by_enrolment_group/HC,MoCA-1,9,complete
enrolled_and_partial/by_enrolment_group/HC,MoCA-2,0,complete
